channel_id,snr_raw_db,snr_classical_db,snr_dl_db,snr_improvement_dl,snr_improvement_classical,rmse_raw,rmse_classical,rmse_dl,peaks_detected_classical,peaks_tp_classical,peaks_fp_classical,peaks_fn_classical,peak_precision_classical,peak_recall_classical,peak_position_error_classical,peaks_detected_dl,peaks_tp_dl,peaks_fp_dl,peaks_fn_dl,peak_precision_dl,peak_recall_dl,peak_position_error_dl
G1_C1_E1,6.279788733108916,19.925429640504866,10.476982570495597,4.197193837386681,13.64564090739595,31.513884317826804,3.393411886113406,60.43881520109954,13,2,11,1,0.15384615384615385,0.6666666666666666,5.618005498512048,15,2,13,1,0.13333333333333333,0.6666666666666666,7.152802613436279
G1_C1_E2,8.503206566314542,18.96196706657809,15.171719491880609,6.668512925566066,10.458760500263548,31.52578205623505,3.517497449048437,63.55352678916526,11,3,8,0,0.2727272727272727,1.0,2.217161857226832,14,3,11,0,0.21428571428571427,1.0,4.660734203453937
G1_C1_E3,7.341305827204369,15.819703766790363,12.712685985309303,5.371380158104934,8.478397939585994,30.27279360659867,3.1657529517959424,51.17704939289682,16,3,13,0,0.1875,1.0,1.1971843779738833,19,3,16,0,0.15789473684210525,1.0,5.527200248585227
G1_C2_E1,5.203790772369572,15.448980817925362,10.089151615259322,4.8853608428897495,10.24519004555579,30.354129738502625,3.2097407115862615,56.0882573437309,15,3,12,0,0.2,1.0,1.6449651320694822,17,3,14,0,0.17647058823529413,1.0,7.0217015345971845
G1_C2_E2,6.3507785916373045,13.86552429292558,12.721445314805447,6.370666723168142,7.514745701288275,31.52307408888421,3.191827854116122,59.56078934903198,14,3,11,0,0.21428571428571427,1.0,3.377774314678277,16,3,13,0,0.1875,1.0,4.726260280593692
