x,raw,classical_denoised,classical_baseline,classical_corrected,dl_denoised,dl_baseline,dl_corrected
0,24.284937968220817,48.13565531912726,37.52702890194978,10.608626417177483,0.14228007197380066,-0.07399164792839884,0.2162717199021995
1,72.00097804444876,45.749943527919676,37.45549330415109,8.294450223768585,0.12968361377716064,-0.07461517880508156,0.2042987925822422
2,8.882758755005362,43.77860834278541,37.383958767215034,6.3946495755703765,0.068466916680336,-0.07523868805459227,0.14370560473492827
3,106.36150102971718,42.19188281283267,37.31242718144927,4.879455631383394,0.11137978732585907,-0.07586213361987973,0.1872419209457388
4,17.69886810597652,40.95999998716964,37.240901076626415,3.7190989105432237,0.16508373618125916,-0.07648545907333218,0.24156919525459133
5,29.98610244798581,40.05319291490453,37.16938347046463,2.8838094444398976,0.18928472697734833,-0.07710858926314576,0.2663933162404941
6,29.95349601138396,39.441694645145546,37.09787775259194,2.3438168925536047,0.25682395696640015,-0.07773142488059705,0.3345553818469972
7,52.77593752269727,39.09573822700088,37.026387601017326,2.069350625983553,0.24065786600112915,-0.07835383997763097,0.3190117059787601
8,51.9948414717852,38.98555670957873,36.95491692813146,2.0306397814472703,0.3132466971874237,-0.07897567515065432,0.392222372338078
9,70.72764572182517,39.08138314198732,36.88346985326007,2.19791328872725,0.30867886543273926,-0.07959673909490325,0.38827560452764254
10,10.78832624471456,39.35345057333482,36.81205069879287,2.541399874541945,0.3469744920730591,-0.08021680128337673,0.4271912933564358
11,52.1340051145242,39.771992052729445,36.740664006910954,3.0313280458184906,0.3591659963130951,-0.08083559236151329,0.44000158867460837
12,0.0,40.3072406292794,36.66931457393534,3.63792605534406,0.5350582599639893,-0.08145280025562211,0.6165110602196113
13,48.10400938244886,40.92942935209288,36.5980074993199,4.3314218527729835,0.5996749401092529,-0.08206806889185357,0.6817430090011065
14,2.795787092649597,41.60879127027809,36.5267482463111,5.082043023966989,0.5672838091850281,-0.08268098054525197,0.64996478973028
15,49.20349042561403,42.31555943294225,36.45554271129761,5.860016721644641,0.5842231512069702,-0.08329104931656077,0.6675142005235309
16,91.66494484114632,37.9596996228823,36.38439729887239,1.575302324009904,0.3541443645954132,-0.08389772431004446,0.43804208890545765
17,22.00721956940267,40.83025581769869,36.313318999630056,4.516936818068636,0.32773616909980774,-0.08450038787854737,0.4122365569783551
18,0.0,39.837872902044325,36.24231496169545,3.5955579403488755,0.3392414450645447,-0.085098378570705,0.4243398236352497
19,121.30960041614172,44.45675964451165,36.17139278488711,8.285366859624538,0.2675456404685974,-0.08569099371149715,0.35323663418009454
20,26.37946713622004,45.89390464299258,36.10056042857934,9.793344214413239,0.1440940648317337,-0.0862774881919212,0.23037155302365492
21,23.72568227172181,47.20781782766748,36.02982668068315,11.177991146984333,0.1743820756673813,-0.08685708157931112,0.2612391572466924
22,62.39389264053376,48.101949143968746,35.95920130844394,12.142747835524808,0.3193063735961914,-0.08742897040384558,0.40673534400003697
23,31.43987162669691,48.561588128275,35.88869519690622,12.672892931368779,0.31069642305374146,-0.08799232507178746,0.3986887481255289
24,52.20238087298,49.26567975823186,35.818320445389276,13.447359312842586,0.32726964354515076,-0.08854627531586523,0.415815918861016
25,89.3250480308386,49.655757701702015,35.748090420501704,13.907667281200311,0.33361759781837463,-0.08908991099993258,0.4227075088183072
26,11.280501407281063,48.90799971601932,35.67801983358802,13.229979882431302,0.32830703258514404,-0.08962228040625127,0.4179293129913953
27,48.14776088543798,47.07175822635947,35.60812478675945,11.463633439600024,0.32901549339294434,-0.09014238954633222,0.4191578829392766
28,0.0,42.51353079011782,35.538422705125235,6.975108084992584,0.3045598864555359,-0.09064920263875503,0.3952090890942909
29,74.52250577980892,39.4005897486477,35.46893216015793,3.93165758848977,0.1894504874944687,-0.09114164198631095,0.2805921294807796
30,26.76350565331236,36.93034755334432,35.39967242084089,1.5306751325034256,0.1504974365234375,-0.09161859037088235,0.24211602689431985
31,123.35863327516184,36.8016674528696,35.330663149323264,1.4710043035463372,0.1928497701883316,-0.09207890251513864,0.2849286727034702
32,34.96488089952077,35.312246770860085,35.26192416082167,0.050322610038413984,0.1908745914697647,-0.09252140893014653,0.28339600039991125
33,48.91085462380286,36.49406677746852,35.19347541765318,1.3005913598153356,0.2070378214120865,-0.09294491163410547,0.29998273304619194
34,34.24221234707512,35.04548977097795,35.12533688716712,-0.07984711618917117,0.23257991671562195,-0.09334818430561481,0.32592810102123676
35,9.932034739389316,37.54345938248771,35.05752866677194,2.4859307157157744,0.17792634665966034,-0.09372997062500066,0.271656317284661
36,7.676422495807586,36.17746119848658,34.99007006338964,1.187391135096945,-0.07443252950906754,-0.09408898167977893,0.019656452170711394
37,0.0,34.55491198905991,34.92298063253527,-0.36806864347536106,-0.12111999094486237,-0.09442390139183385,-0.026696089553028518
38,22.057048314838948,36.44108577992895,34.85628004846304,1.5848057314659059,-0.14881910383701324,-0.09473341171740442,-0.05408569211960883
39,12.852614754766815,35.575873666742424,34.78998434154754,0.7858893251948871,-0.202161967754364,-0.09501645890401621,-0.1071455088503478
40,41.3664984479158,33.998563082785914,34.72410970064393,-0.725546617858015,-0.08506616204977036,-0.09527252464754675,0.010206362597776394
41,0.0,36.88884196615403,34.658672393196284,2.230169572957749,-0.03146273270249367,-0.09550215138441125,0.06403941868191758
42,58.97418978885149,36.46131590525901,34.593681503737194,1.8676344015218191,0.06350038200616837,-0.09570588053038864,0.159206262536557
43,66.69907104335807,36.07258044914442,34.529146339816165,1.5434341093282526,0.12139491736888885,-0.09588424709731602,0.21727916446620488
